title,format,year,price,author,rating,publisher,length,city/country,categories,quantity
Code Name Verity,Paperback,2015,15.0,Elizabeth Wein,4.0,HarperCollins Publishers,464.0,United Kingdom,Children's Fiction,17
The Wonderful Things You Will Be,Hardback,2015,26.02,Emily Winfield Martin,4.4,Random House USA Inc,36.0,"New York, United States",Storybooks,27
Breath,Paperback,2021,17.24,James Nestor,4.15,Penguin Books Ltd,304.0,"London, United Kingdom",Science: General Issues,34
Gangsta Granny,Paperback,2013,15.29,David Walliams,4.28,HarperCollins Publishers,306.0,"London, United Kingdom",Funny Books for Kids,24
How the Grinch Stole Christmas!,Paperback,2010,13.86,Dr. Seuss,4.34,HarperCollins Publishers,64.0,"London, United Kingdom",Characters,17
"Jujutsu Kaisen, Vol. 5",Paperback,2020,15.29,Gege Akutami,4.5,"Viz Media, Subs. of Shogakukan Inc",192.0,"San Francisco, United States",Graphic Novels: Manga,29
Call Me By Your Name,Paperback,2017,12.78,Andre Aciman,4.16,Atlantic Books,256.0,"London, United Kingdom",Contemporary Fiction,25
Invisible Women,Paperback,2020,18.27,Caroline Criado Perez,4.39,Vintage Publishing,432.0,"London, United Kingdom",Journalistic Style Guides,21
Twittering Birds Never Fly Volume 2 (Yaoi Manga),Paperback,2021,21.19,Kou Yoneda,4.38,DIGITAL MANGA,200.0,United States,Graphic Novels: Manga,40
Six of Crows: Collector's Edition,Hardback,2018,28.55,Leigh Bardugo,4.47,Hachette Children's Group,512.0,"London, United Kingdom",Children's Fiction,53
The Lion Inside,Paperback,2016,20.21,Rachel Bright,4.36,Hachette Children's Group,32.0,"London, United Kingdom",Storybooks,30
The Shadow and Bone Trilogy Boxed Set,Paperback,2017,51.53,Leigh Bardugo,4.35,Square Fish,,"New York, Brazil",Fantasy,17
The Whole-Brain Child,Paperback,2018,25.69,Daniel J. Siegel,4.24,Random House USA Inc,192.0,"New York, United States",Child & Developmental Psychology,31
Deep Work,Paperback,2016,33.35,Cal Newport,4.17,"Little, Brown Book Group",304.0,"London, United Kingdom",Business & Management,27
The Man Who Died Twice,Hardback,2021,34.04,Richard Osman,4.57,Penguin Books Ltd,432.0,"London, United Kingdom",Contemporary Fiction,55
Paddington's Suitcase,Paperback,2007,26.28,Michael Bond,4.62,HarperCollins Publishers,192.0,"London, United Kingdom",Picture Books,32
"Good Vibes, Good Life",Paperback,2018,25.06,Vex King,4.12,Hay House UK Ltd,304.0,"London, United Kingdom",Personal Development,40
The Daily Laws,Hardback,2021,31.95,Robert Greene,4.49,Profile Books Ltd,464.0,"London, United Kingdom",Philosophy,35
Everyone You Hate is Going to Die,Hardback,2021,28.19,Daniel Sloss,4.13,Cornerstone,272.0,"London, United Kingdom",Other Performing Arts,21
Ugly Love: A Novel,Paperback,2014,22.2,Colleen Hoover,4.26,Simon & Schuster,336.0,United States,Contemporary Fiction,29
The Light Seer's Tarot,Cards,2019,27.85,Chris-Anne,4.75,Hay House Inc,192.0,"Carlsbad, United States",Spirituality & Religious Experience,59
"Set Boundaries, Find Peace",Paperback,2021,21.48,Nedra Glover Tawwab,4.41,"Little, Brown Book Group",304.0,"London, United Kingdom",Psychology,45
Meine Reise durch Europa: Ausmalen und geniessen,Paperback,2021,18.1,Rita Berman,,Gustav Lubbe Verlag GmbH,96.0,"Bergisch Gladbach, Germany",Art Books,32
"My Hero Academia, Vol. 29",Paperback,2021,15.29,Kohei Horikoshi,4.71,"Viz Media, Subs. of Shogakukan Inc",184.0,"San Francisco, United States",Graphic Novels: Manga,28
Guinness World Records 2022,Hardback,2021,42.35,Guinness World Records,4.29,Guinness World Records Limited,256.0,United Kingdom,General Encyclopaedias,50
The Little Prince,Paperback,1998,6.5,Antoine de Saint-Exupery,4.31,Wordsworth Editions Ltd,112.0,"Herts, United Kingdom",Children's Fiction,36
The Courage To Be Disliked,Paperback,2019,16.28,Ichiro Kishimi,4.06,Allen & Unwin,288.0,"St Leonards, Australia",Philosophy,43
Ten Little Fingers and Ten Little Toes,Board book,2011,14.82,Mem Fox,4.24,Walker Books Ltd,40.0,"London, United Kingdom",Storybooks,34
Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 3,Paperback,2022,23.99,Mo Xiang Tong Xiu,4.94,Seven Seas,544.0,United States,Fantasy,52
I Want My Hat Back,Paperback,2012,13.37,Jon Klassen,4.29,Walker Books Ltd,40.0,"London, United Kingdom",Picture Books,58
What Happened to You?,Hardback,2021,28.38,Oprah Winfrey,4.52,Pan Macmillan,304.0,"London, United Kingdom",Child & Developmental Psychology,53
It Ends with Us,Paperback,2016,21.73,Colleen Hoover,4.42,Atria Books,384.0,,Contemporary Fiction,45
Sparkly Christmas Sticker Book,Paperback,2019,11.74,Fiona Patchett,4.0,Usborne Publishing Ltd,32.0,"London, United Kingdom",Activity Books,54
Oi Frog!,Paperback,2015,13.22,Kes Gray,4.27,Hachette Children's Group,32.0,"London, United Kingdom",Picture Books,25
Look Inside Your Body,Board book,2021,27.06,Louie Stowell,4.6,Usborne Publishing Ltd,14.0,"London, United Kingdom",Picture Books,53
Unnatural Causes,Paperback,2019,21.69,Dr Richard Shepherd,4.34,Penguin Books Ltd,464.0,"London, United Kingdom","Biography: Science, Technology & Engineering",31
A Good Girl's Guide to Murder,Paperback,2019,17.43,Holly Jackson,4.36,HarperCollins Publishers,448.0,United Kingdom,Vintage Crime,53
The Korean Vegan Cookbook,Hardback,2021,56.97,Joanna Lee Molinaro,4.71,Penguin Putnam Inc,336.0,"New York, United States",Food & Drink,39
Almond,Paperback,2021,23.61,Won-pyung Sohn,4.22,HarperCollins Publishers Inc,272.0,"New York, United States",Contemporary Fiction,41
"Solo Leveling, Vol. 3 (Manga)",Paperback,2021,30.48,Chugong,4.71,"Little, Brown & Company",192.0,"New York, United States",Literature: History & Criticism,49
"One-Punch Man, Vol. 23",Paperback,2021,15.29,ONE,4.23,"Viz Media, Subs. of Shogakukan Inc",232.0,"San Francisco, United States",Graphic Novels: Manga,45
Don't Let the Pigeon Drive the Bus!,Paperback,2011,12.31,Mo Willems,4.29,Walker Books Ltd,40.0,"London, United Kingdom",Picture Books,24
Ikigai,Hardback,2017,21.47,Hector Garcia,3.71,Cornerstone,208.0,"London, United Kingdom",Oriental & Indian Philosophy,31
The Storyteller,Hardback,2021,52.82,Dave Grohl,4.63,Simon & Schuster Australia,384.0,"East Roseville, Australia",Music: Styles & Genres,32
Enid Blyton's Christmas Stories,Paperback,2014,12.82,Enid Blyton,3.94,Hachette Children's Group,352.0,"London, United Kingdom",Children's Fiction,27
The Girl Who Never Made Mistakes,Hardback,2011,25.27,Gary Rubinstein,4.1,"Sourcebooks, Inc",32.0,"Naperville, United States",Children's Fiction,19
Goodnight Moon,Board book,2011,13.35,Margaret Wise Brown,4.28,HarperCollins Publishers Inc,34.0,"New York, United States",Baby Books,58
Everything I Never Told You,Paperback,2014,14.07,Celeste Ng,3.86,"Little, Brown Book Group",320.0,"London, United Kingdom",Contemporary Fiction,48
"Spy x Family, Vol. 6",Paperback,2021,15.29,Tatsuya Endo,4.46,"Viz Media, Subs. of Shogakukan Inc",200.0,"San Francisco, United States",Graphic Novels: Manga,43
The 48 Laws Of Power,Paperback,2000,28.88,Robert Greene,4.12,Profile Books Ltd,480.0,"London, United Kingdom",Society & Culture: General,59
Never Split the Difference,Paperback,2017,14.24,Chris Voss,4.37,Cornerstone,288.0,"London, United Kingdom",Macroeconomics,17
The Proof is in the Plants,Paperback,2021,44.36,Simon Hill,4.7,Penguin Random House Australia,416.0,Australia,Dietetics & Nutrition,51
Shuggie Bain,Paperback,2021,16.84,Douglas Stuart,4.35,Pan Macmillan,448.0,"London, United Kingdom",Contemporary Fiction,11
Harry Potter - A Magical Year,Hardback,2021,42.82,J. K. Rowling,4.53,Bloomsbury Publishing PLC,240.0,"London, United Kingdom",Contemporary Fiction,41
The Reverse Coloring Book (R),Paperback,2021,34.62,Kendra Norton,4.0,Workman Publishing,104.0,"New York, United States",Art Books,58
Berserk Deluxe Volume 3,Hardback,2019,89.74,Kentaro Miura,4.77,"Dark Horse Comics,U.S.",704.0,"Milwaukie, United States",Graphic Novels: Manga,11
Twinkly Twinkly Christmas Tree,Board book,2018,25.88,Sam Taplin,4.2,Usborne Publishing Ltd,10.0,"London, United Kingdom",Baby Books,11
Look Inside Our World,Board book,2014,21.68,Emily Bone,4.56,Usborne Publishing Ltd,14.0,"London, United Kingdom",Geography Books,39
Harry Potter and the Philosopher's Stone,Paperback,2014,17.37,J.K. Rowling,4.47,Bloomsbury Publishing PLC,352.0,"London, United Kingdom",Fantasy,15
Peppa Pig: Little Library,Board book,2011,13.36,Peppa Pig,4.2,Penguin Random House Children's UK,60.0,"London, United Kingdom",Characters,12
There Was an Old Lady Who Swallowed a Fly,Board book,2000,10.8,Pam Adams,4.22,Child's Play International Ltd,14.0,"Swindon, United Kingdom",Baby Books,35
Numbers Don't Lie,Paperback,2021,17.81,Vaclav Smil,3.9,Penguin Books Ltd,384.0,"London, United Kingdom",General & World History,53
Room on the Broom,Paperback,2003,14.17,Julia Donaldson,4.39,Penguin Random House Australia,32.0,"Hawthorn, Australia",Storybooks,59
Surrounded by Idiots,Paperback,2019,17.18,Thomas Erikson,3.35,Ebury Publishing,304.0,"London, United Kingdom",Psychology,52
The Incal,Paperback,2020,41.69,Alejandro Jodorowsky,4.17,"Humanoids, Inc",316.0,United States,Science Fiction,42
Berserk Deluxe Volume 1,Hardback,2019,94.47,Kentaro Miura,4.55,"Dark Horse Comics,U.S.",696.0,"Milwaukie, United States",Graphic Novels: Manga,57
A Man Called Ove,Paperback,2015,20.49,Fredrik Backman,4.35,Hodder & Stoughton,320.0,"London, United Kingdom",Contemporary Fiction,13
Look Inside Space,Board book,2012,19.01,Rob Lloyd Jones,4.5,Usborne Publishing Ltd,14.0,"London, United Kingdom",Teaching Resources & Education,59
Ten Delicious Teachers,Hardback,2021,25.65,Ross Montgomery,4.4,Walker Books Ltd,32.0,"London, United Kingdom",Storybooks,36
Mythos,Paperback,2018,18.81,Stephen Fry,4.26,Penguin Books Ltd,464.0,"London, United Kingdom",Poetry Books,52
Wheel of Time Premium Boxed Set I,Paperback,2019,54.05,Robert Jordan,4.45,TOR BOOKS,2272.0,New York,Poetry Books,50
Asterix: Asterix and the Griffin,Hardback,2021,19.19,Jean-Yves Ferri,3.8,"Little, Brown Book Group",48.0,"London, United Kingdom",Comic Book & Cartoon Art,25
Women Who Run with the Wolves,Paperback,1997,14.25,Clarissa Pinkola Estes,4.06,Random House USA Inc,608.0,"New York, United States",Literary Studies: General,23
Renegades,Hardback,2021,62.92,Barack Obama,4.04,Penguin Books Ltd,320.0,"London, United Kingdom","Easy Listening, MOR Music",23
East,Hardback,2019,41.83,Meera Sodha,4.47,Penguin Books Ltd,304.0,"London, United Kingdom",Quick & Easy Cooking,38
They Both Die at the End,Paperback,2018,18.42,Adam Silvera,4.02,Quill Tree Books,416.0,,Children's General Story Books,36
The Art of War,Paperback,2011,7.08,Sun Tzu,3.97,HarperCollins Publishers,112.0,"London, United Kingdom",Oriental & Indian Philosophy,45
Cult Following,Hardback,2021,23.25,Bexy Cameron,4.16,Bonnier Books Ltd,400.0,United Kingdom,Biography: General,49
Peppa Pig: Marvellous Magnet Book,Hardback,2015,18.69,Peppa Pig,3.94,Penguin Random House Children's UK,10.0,"London, United Kingdom",Baby Books,10
"Banana Fish, Vol. 1",Paperback,2004,15.29,Akimi Yoshida,4.25,"Viz Media, Subs. of Shogakukan Inc",200.0,"San Francisco, United States",Graphic Novels: Manga,13
Once Upon A Broken Heart,Hardback,2021,42.6,Stephanie Garber,4.27,HODDER & STOUGHTON,416.0,"London, United Kingdom",Contemporary Fiction,34
The House in the Cerulean Sea,Paperback,2021,15.53,TJ Klune,4.47,Pan Macmillan,400.0,"London, United Kingdom",Romance,32
The Ickabog,Hardback,2020,26.93,J. K. Rowling,3.97,Litle Brown,288.0,"London, United Kingdom",Children's General Story Books,55
The Nutcracker,Board book,2019,20.12,Fiona Watt,5.0,Usborne Publishing Ltd,10.0,"London, United Kingdom",Picture Books,25
Leaders Eat Last,Paperback,2017,18.96,Simon Sinek,4.1,Penguin Books Ltd,368.0,"London, United Kingdom","Biography: Historical, Political & Military",47
"Haikyu!!, Vol. 45",Paperback,2021,12.97,Haruichi Furudate,4.88,"Viz Media, Subs. of Shogakukan Inc",232.0,"San Francisco, United States",Graphic Novels: Manga,32
Un-cook Yourself,Paperback,2020,43.09,Nat's What I Reckon,4.07,Ebury Australia,272.0,Australia,"Assertiveness, Motivation & Self-esteem",28
The Scum Villain's Self-Saving System: Ren Zha Fanpai Zijiu Xitong (Novel) Vol. 2,Paperback,2022,23.99,Mo Xiang Tong Xiu,4.71,Seven Seas,400.0,United States,Fantasy,31
Can't Hurt Me,Paperback,2018,30.56,David Goggins,4.35,Lioncrest Publishing,364.0,,Biography: General,13
The Most Magnificent Thing,Hardback,2017,22.47,Ashley Spires,4.31,Kids Can Press,32.0,"West Toronto, Canada",Picture Books,45
Ramsay in 10,Hardback,2021,38.61,Gordon Ramsay,,HODDER & STOUGHTON,256.0,"London, United Kingdom",Food & Drink,46
A Court of Thorns and Roses Box Set,Paperback,2021,74.81,Sarah J. Maas,4.69,Bloomsbury Publishing PLC,2112.0,"London, United Kingdom",Fantasy,52
Crooked Kingdom Collector's Edition,Hardback,2019,37.09,Leigh Bardugo,4.59,Hachette Children's Group,544.0,"London, United Kingdom",Sci Fi Books for Kids,41
Where's Wally?,Paperback,2011,9.29,Martin Handford,4.15,Walker Books Ltd,32.0,"London, United Kingdom",Characters,23
The 13-Storey Treehouse,Paperback,2015,15.54,Andy Griffiths,4.01,Pan Macmillan,256.0,"London, United Kingdom",Children's Fiction,30
Heartstopper Volume Four,Paperback,2021,18.76,Alice Oseman,4.69,Hachette Children's Group,384.0,"London, United Kingdom",Children's Fiction,42
Zog and the Flying Doctors,Paperback,2017,13.69,Julia Donaldson,4.22,Scholastic,32.0,"London, United Kingdom",Picture Books,41
The 5 Love Languages,Paperback,2015,24.13,Gary Chapman,4.24,Moody Publishers,256.0,United States,"Christian Aspects Of Sexuality, Gender & Relationships",55
Empire of the Vampire,Hardback,2021,37.49,Jay Kristoff,4.5,HarperCollins Publishers,736.0,"London, United Kingdom",Horror,46
The Burning God,Paperback,2021,20.06,R.F. Kuang,4.32,HarperCollins Publishers,640.0,"London, United Kingdom",Adventure Books,20
Moleskine 2022 12-Month Weekly Large Softcover Notebook: Black,Paperback,2021,20.74,Moleskine,,Moleskine,144.0,Italy,Miscellaneous Items,45
Antes de diciembre,Paperback,2021,25.1,Jona Marcus,4.53,Montena,,Spain,Children's Fiction,24
"Toilet-bound Hanako-kun, Vol. 1",Paperback,2020,19.46,Aidalro,4.44,"Little, Brown & Company",180.0,"New York, United States",Graphic Novels: Manga,53
"Yarichin Bitch Club, Vol. 2",Paperback,2020,19.26,Ogeretsu Tanaka,3.9,"Viz Media, Subs. of Shogakukan Inc",242.0,United States,Graphic Novels: Manga,30
The Backyard Adventurer,Paperback,2021,43.05,Beau Miles,4.48,Brio Books,256.0,Australia,Autobiography: General,36
Moonology (TM) Diary 2022: THE SUNDAY TIMES BESTSELLER,Paperback,2021,24.81,Yasmin Boland,4.89,Hay House UK Ltd,264.0,"London, United Kingdom","Mind, Body, Spirit: Thought & Practice",47
Atlas of the Heart,Hardback,2021,30.35,BrenÃ© Brown,3.43,Ebury Publishing,336.0,"London, United Kingdom",Management: Leadership & Motivation,54
Harry Potter: Holiday Magic: The Official Advent Calendar,Hardback,2021,41.1,Insight Editions,,Insight Editions,1.0,"San Rafael, United States",Art History: From c 1960,50
Kingdom of the Cursed,Hardback,2021,39.44,Kerri Maniscalco,4.37,HODDER & STOUGHTON,448.0,"London, United Kingdom",Fantasy,21
Zog,Paperback,2017,16.4,Julia Donaldson,4.29,Scholastic,32.0,"London, United Kingdom",Characters,37
Anxious People,Paperback,2021,17.61,Fredrik Backman,4.22,Penguin Books Ltd,416.0,"London, United Kingdom",Contemporary Fiction,54
The Power of Ideas,Hardback,2021,47.91,Jonathan Sacks,,Hodder & Stoughton,400.0,"London, United Kingdom",Biography: General,10
COVID-19 and the Global Predators,Paperback,2021,40.79,Peter Breggin,4.0,Lake Edge Press,690.0,,Reference Books,10
The Gruffalo,Paperback,2006,12.96,Julia Donaldson,4.42,Penguin Random House Children's UK,32.0,United States,Children's General Story Books,40
The Subtle Art of Not Giving a F*Ck,Paperback,2017,22.68,Mark Manson,3.92,HarperCollins Publishers Inc,224.0,"New York, NY, United States",Personal Development,30
Stuck,Paperback,2012,14.29,Oliver Jeffers,4.24,HarperCollins Publishers,32.0,"London, United Kingdom",Picture Books,17
"Fist of the North Star, Vol. 2",Hardback,2021,29.84,Buronson,4.1,"Viz Media, Subs. of Shogakukan Inc",312.0,"San Francisco, United States",Graphic Novels: Manga,21
The Hebridean Baker,Hardback,2021,36.87,Coinneach MacLeod,4.8,Black and White Publishing,256.0,"Edinburgh, United Kingdom","Cakes, Baking, Icing & Sugarcraft",33
The Overstory,Paperback,2019,27.44,Richard Powers,4.11,Vintage Publishing,640.0,"London, United Kingdom",Contemporary Fiction,52
A Passage North,Hardback,2021,24.1,Anuk Arudpragasam,3.76,Granta Books,304.0,"London, United Kingdom",Contemporary Fiction,49
How to Win Friends and Influence People,Paperback,2011,14.69,Dale Carnegie,4.21,Simon & Schuster,304.0,"New York, United States","Social, Group Or Collective Psychology",17
Prisoners of Geography,Paperback,2016,24.91,Tim Marshall,4.18,Elliott & Thompson Limited,320.0,"London, United Kingdom",Geopolitics,36
Attack On Titan Season 1 Part 1 Manga Box Set,Paperback,2020,55.42,Hajime Isayama,4.65,"Kodansha America, Inc",784.0,"New York, United States",Graphic Novels: Manga,14
The Smartest Giant in Town,Paperback,2016,16.33,Julia Donaldson,4.21,Pan Macmillan,32.0,"London, United Kingdom",Storybooks,19
The Unhoneymooners,Paperback,2019,21.73,Christina Lauren,4.02,Gallery Books,432.0,,Contemporary Fiction,48
The Famous Five Collection 1,Paperback,2012,18.66,Enid Blyton,4.49,Hachette Children's Group,592.0,"London, United Kingdom",Classic Books for Children,25
Aristotle and Dante Discover the Secrets of the Universe,Paperback,2015,22.56,Benjamin Alire SÃ¡enz,4.34,SIMON & SCHUSTER,384.0,"New York, United States",Children's Fiction,45
The Salt Path,Paperback,2019,24.72,Raynor Winn,4.1,Penguin Books Ltd,288.0,"London, United Kingdom",Memoirs,34
Where Is the Green Sheep?,Board book,2009,13.59,Judy Horacek,4.2,"Cengage Learning, Inc",32.0,"Belmont, CA, United States",Early Learning,56
Flow,Paperback,2011,23.61,Mihaly Csikszentmihalyi,4.07,HarperCollins Publishers Inc,303.0,"New York, NY, United States",Psychology,15
"Oh, The Places You'll Go!",Paperback,2017,14.38,Dr. Seuss,4.33,HarperCollins Publishers,48.0,"London, United Kingdom","Assertiveness, Motivation & Self-esteem",58
Demon Slayer Complete Box Set,Paperback,2021,221.79,Koyoharu Gotouge,4.3,"Viz Media, Subs. of Shogakukan Inc",4496.0,"San Francisco, United States",Graphic Novels: Manga,21
What to Do When You Worry Too Much,Paperback,2005,21.73,Dawn Huebner,4.34,American Psychological Association,80.0,"Washington, DC, United States",Activity Books,29
Belonging,Paperback,2021,25.71,Catherine Corless,4.87,Hachette Books Ireland,480.0,"Castleknock, Ireland",Memoirs,32
A Cloud Where the Birds Rise,Hardback,2021,34.79,Michael Harding,5.0,Hachette Books Ireland,240.0,"Castleknock, Ireland",Drawing,40
Monkey Puzzle,Paperback,2016,12.24,Julia Donaldson,4.28,Pan Macmillan,32.0,"London, United Kingdom",Storybooks,25
MEDICAL MEDIUM CLEANSE TO HEAL,Hardback,2020,52.27,Anthony William,4.3,Hay House Inc,257.0,"Carlsbad, United States",Dietetics & Nutrition,42
Christmas Around the World,Hardback,2009,10.75,Anna Claybourne,4.25,Usborne Publishing Ltd,48.0,"London, United Kingdom",Picture Books,52
The Lean Startup,Paperback,2011,16.58,Eric Ries,4.1,Penguin Books Ltd,336.0,"London, United Kingdom",Business Innovation,24
The Wonky Donkey,Paperback,2018,12.17,Craig Smith,4.41,Scholastic Paperbacks,24.0,United States,Animal Stories,34
The Inheritance Games,Paperback,2020,15.54,Jennifer Lynn Barnes,4.23,Penguin Random House Children's UK,384.0,"London, United Kingdom",Children's General Story Books,18
Never Split the Difference,Paperback,2018,13.6,Chris Voss,4.37,HARPER BUSINESS,288.0,,Business Negotiation,18
The Giver,Paperback,2014,11.53,Lois Lowry,4.13,HarperCollins Publishers,240.0,"London, United Kingdom",Children's Fiction,34
Talk To Me In Korean Workbook Level 1,Paperback,2015,20.63,Talk To Me in Korean,4.51,Kong and Park,130.0,South Korea,Language Teaching & Learning Material & Coursework,45
The Rainbow Fish,Paperback,2012,13.07,Marcus Pfister,4.18,North-South Books (Nord-Sud Verlag AG),25.0,"Zurich, Switzerland",Picture Books,28
The Books of Jacob,Paperback,2021,29.47,Olga Tokarczuk,4.19,Fitzcarraldo Editions,920.0,"London, United Kingdom",Contemporary Fiction,17
The Secret,Hardback,2006,26.21,Rhonda Byrne,3.7,Simon & Schuster Ltd,224.0,"London, United Kingdom",Health Books,43
British Museum: A History of the World in 25 Cities,Hardback,2021,35.8,Tracey Turner,,Nosy Crow Ltd,112.0,"London, United Kingdom",Nonfiction History Books for Kids,58
Numberblocks Annual 2022,Hardback,2021,16.7,Sweet Cherry Publishing,,Sweet Cherry Publishing,72.0,"Leicester, United Kingdom",Activity Books,48
Wotakoi: Love Is Hard for Otaku 5,Paperback,2021,26.0,Fujita,4.7,"Kodansha America, Inc",256.0,"New York, United States",Romance,27
A Silent Voice Complete Series Box Set,Paperback,2020,94.65,Yoshitoki Oima,4.55,"Kodansha America, Inc",1344.0,"New York, United States",Graphic Novels: Manga,14
The Magic Slice,Paperback,2021,23.28,Jack Murray,,Houndstooth Press,322.0,,Business Communication & Presentation,10
The Christmas Bear,Board book,2016,15.09,Ian Whybrow,4.04,Pan MacMillan,10.0,"London, United Kingdom",Storybooks,24
Shoe Dog,Paperback,2018,18.08,Phil Knight,4.46,Simon & Schuster Ltd,400.0,"London, United Kingdom",Biography: Business & Industry,54
Tomie: Complete Deluxe Edition,Hardback,2016,47.49,Junji Ito,4.1,"Viz Media, Subs. of Shogakukan Inc",752.0,"San Francisco, United States","Graphic Novels, Anime & Manga",34
How To Do The Work,Paperback,2021,23.33,Nicole Lepera,4.18,Orion Publishing Co,320.0,"London, United Kingdom",Abnormal Psychology,51
Stick Man Early Reader,Paperback,2012,8.66,Julia Donaldson,4.27,Scholastic,40.0,"London, United Kingdom",Characters,27
"Howl of the Wind Dragon: A Branches Book (Dragon Masters #20), 20",Paperback,2021,10.29,Tracey West,4.5,Scholastic US,96.0,"New York, United States",Children's General Story Books,16
The Stranger in the Lifeboat,Hardback,2021,22.62,Mitch Albom,4.44,"Little, Brown Book Group",288.0,"London, United Kingdom",Contemporary Fiction,23
The Jolly Postman or Other People's Letters,Hardback,2011,24.09,Allan Ahlberg,4.51,Penguin Random House Children's UK,48.0,"London, United Kingdom",Baby Books,58
First 100 Words,Board book,2011,11.2,Roger Priddy,4.3,St Martin's Press,24.0,"New York, United States",Baby Books,28
The Hawthorne Legacy,Paperback,2021,15.29,Jennifer Lynn Barnes,4.24,Penguin Random House Children's UK,368.0,"London, United Kingdom",Adventure Books for Kids,14
Meditations,Paperback,2015,17.38,Marcus Aurelius,4.22,Penguin Books Ltd,304.0,"London, United Kingdom",Classical History / Classical Civilisation,28
Norwegian Wood,Paperback,2003,22.93,Haruki Murakami,4.03,Vintage Publishing,400.0,"London, United Kingdom",Contemporary Fiction,35
Returning Light,Hardback,2021,24.32,Robert L. Harris,5.0,HarperCollins Publishers,272.0,"London, United Kingdom","Biography: Science, Technology & Engineering",52
The Forever Dog,Paperback,2021,32.41,Rodney Habib,,HarperCollins Publishers,464.0,"London, United Kingdom",Dogs As Pets,44
Moleskine Ltd. Ed. Peanuts 2022 12-Month Weekly Large Hardcover Notebook: Scarlet Red,Hardback,2021,25.0,Moleskine,,Moleskine,144.0,Italy,Miscellaneous Items,54
Heart Bones,Paperback,2020,21.97,Colleen Hoover,4.36,Independently Published,336.0,,Adult & Contemporary Romance,59
The Story Orchestra: The Nutcracker: Volume 2,Hardback,2017,28.53,Katy Flint,4.73,Frances Lincoln Publishers Ltd,24.0,"London, United Kingdom",Activity Books,14
Wotakoi: Love Is Hard For Otaku 1,Paperback,2018,24.11,Fujita,4.35,"Kodansha America, Inc",300.0,"New York, United States",Graphic Novels: Manga,36
Red Queen,Paperback,2015,10.96,Victoria Aveyard,4.03,Orion Publishing Co,416.0,"London, United Kingdom",Fantasy Books for Kids,59
Language Hub Pre-Intermediate Student's Book with Student's App,Mixed media product,2019,55.45,Daniel Brayshaw,,Macmillan Education,178.0,"London, United Kingdom",Language Teaching & Learning Material & Coursework,28
The Christmas Pig,Hardback,2021,36.12,J K Rowling,4.18,Scholastic Inc.,288.0,,Children's Fiction,57
Six of Crows Boxed Set,Paperback,2018,38.85,Leigh Bardugo,4.73,Square Fish,,New York,Adventure Books for Kids,21
Iron Widow,Hardback,2021,25.46,Xiran Jay Zhao,4.38,Oneworld Publications,400.0,"London, United Kingdom",Military Fiction,50
Beautiful Oops!,Hardback,2010,25.64,Barney Saltzberg,4.55,Workman Publishing,28.0,"New York, United States",Activity Books,13
The Stranger,Paperback,2016,17.04,Albert Camus,3.99,Random House USA Inc,144.0,"New York, United States",Contemporary Fiction,33
"Girl, Woman, Other",Paperback,2020,17.39,Bernardine Evaristo,4.36,Penguin Books Ltd,464.0,"London, United Kingdom",Contemporary Fiction,54
The Gruffalo's Child,Paperback,2007,12.85,Julia Donaldson,4.34,Penguin Random House Australia,32.0,"Hawthorn, Australia",Picture Books,59
The Book With No Pictures,Paperback,2016,14.67,B. J. Novak,4.27,Penguin Random House Children's UK,48.0,"London, United Kingdom",Storybooks,17
Quiet,Paperback,2018,17.63,Susan Cain,4.05,Penguin Books Ltd,352.0,"London, United Kingdom",Society & Social Sciences,46
