title,format,year,price,author,rating,publisher,length,city/country,categories,quantity
"The Pragmatic Programmer: your journey to mastery, 20th Anniversary Edition",Hardback,2020,56.75,David Thomas,4.32,Pearson Education (US),352.0,"Boston, United States",Computer Programming / Software Development,21
Little Women,Paperback,2017,13.37,Louisa May Alcott,4.02,Vintage Publishing,432.0,"London, United Kingdom",Classic Books & Novels,11
"It's Fine, It's Fine, It's Fine",Hardback,2022,24.48,Taz Alam,4.17,HarperCollins Publishers,276.0,"London, United Kingdom",Biography: Arts & Entertainment,14
Foundation and Empire,Paperback,2016,10.82,Isaac Asimov,4.21,HarperCollins Publishers,240.0,"London, United Kingdom",Classic Books & Novels,55
Advent Calendar,Paperback,2021,35.23,Jeff Collins,,Independently Published,32.0,,Home,55
"That Time I Got Reincarnated as a Slime, Vol. 12 (light novel)",Paperback,2021,19.83,Fuse,4.24,"Little, Brown & Company",358.0,"New York, United States",Fantasy,24
The Backyard Adventurer,Paperback,2021,26.47,Beau Miles,,Brio Press,290.0,,Outdoor Survival Skills,33
The Land of Stories: The Wishing Spell,Paperback,2013,14.42,Chris Colfer,4.24,Hachette Children's Group,448.0,"London, United Kingdom",Children's Fiction,35
Pride and Prejudice,Paperback,1997,8.5,Jane Austen,4.27,Wordsworth Editions Ltd,352.0,"Herts, United Kingdom",Classic Books & Novels,43
The Dandy Annual 2022,Hardback,2021,20.67,,,D.C.Thomson & Co Ltd,112.0,United Kingdom,Annuals,50
The Art and Soul of Dune,Hardback,2021,100.01,Tanya Lapointe,4.78,Titan Books Ltd,156.0,"London, United Kingdom","Films, Cinema",32
"Sapiens A Graphic History, Volume 2",Hardback,2021,30.7,Yuval Noah Harari,3.97,Vintage Publishing,256.0,"London, United Kingdom",Graphic Novels: True Stories & Non-fiction,14
In the Realm of Hungry Ghosts,Paperback,2018,20.9,Dr Gabor Mate,4.5,Ebury Publishing,496.0,"London, United Kingdom",Clinical Psychology,46
Ottolenghi SIMPLE,Hardback,2018,57.52,Yotam Ottolenghi,4.13,Ebury Publishing,320.0,"London, United Kingdom",Food & Drink,47
Archer's Voice,Paperback,2018,22.4,Mia Sheridan,4.37,"Little, Brown & Company",400.0,United States,Contemporary Fiction,16
Tales from the Cafe,Paperback,2020,12.94,Toshikazu Kawaguchi,4.0,Pan Macmillan,208.0,"London, United Kingdom",Contemporary Fiction,33
House of Sky and Breath,Hardback,2022,27.02,Sarah J. Maas,4.72,Bloomsbury Publishing PLC,768.0,"London, United Kingdom",Contemporary Fiction,51
It Didn't Start with You,Paperback,2017,26.73,Mark Wolynn,3.58,Penguin Putnam Inc,256.0,United States,Psychology,13
Malt Whisky Yearbook 2022 2022,Paperback,2021,28.3,Ingvar Ronde,,MagDig Media Ltd,300.0,"Shrewsbury, United Kingdom","Yearbooks, Annuals, Almanacs",35
By the Sea,Paperback,2002,15.87,Abdulrazak Gurnah,3.68,Bloomsbury Publishing PLC,256.0,"London, United Kingdom",Contemporary Fiction,13
The Sovereign Individual: Mastering the Transition to the Information Age,Paperback,1999,29.89,James Dale Davidson,4.25,Simon & Schuster,448.0,"New York, NY, United States",Media Studies,33
The Mamba Mentality: How I Play,Hardback,2020,50.07,Kobe Bryant,4.26,"Farrar, Straus & Giroux Inc",208.0,"New York, United States",Biography: Sport,13
Everything I Know About Love,Paperback,2019,16.65,Dolly Alderton,4.16,Penguin Books Ltd,368.0,"London, United Kingdom",Biography: General,26
Braiding Sweetgrass,Paperback,2020,18.2,Robin Wall Kimmerer,4.56,Penguin Books Ltd,400.0,"London, United Kingdom","Ecological Science, The Biosphere",42
The Subtle Art of Not Giving a F*ck,Hardback,2016,35.63,Mark Manson,3.92,HarperCollins Publishers Inc,224.0,"New York, United States",Personal Development,36
We Should All Be Feminists,Paperback,2015,11.08,Chimamanda Ngozi Adichie,4.43,HarperCollins Publishers,64.0,"London, United Kingdom",Literary Essays,46
A Cook's Book,Hardback,2021,56.41,Nigel Slater,4.62,HarperCollins Publishers,512.0,"London, United Kingdom",General Cookery,43
Letters from Father Christmas,Paperback,2009,16.29,J. R. R. Tolkien,4.27,HarperCollins Publishers,160.0,"London, United Kingdom","Diaries, Letters & Journals",58
How to Catch a Star,Paperback,2005,15.3,Oliver Jeffers,4.21,HarperCollins Publishers,32.0,"London, United Kingdom",Picture Books,56
The Cheat Sheet,Paperback,2021,22.77,Sarah Adams,4.02,Independently Published,304.0,,Adult & Contemporary Romance,25
The Dispossessed,Paperback,1999,10.46,Ursula K. Le Guin,4.2,Orion Publishing Co,336.0,"London, United Kingdom",Contemporary Fiction,39
Courage Is Calling,Hardback,2021,22.45,Ryan Holiday,4.14,Profile Books Ltd,304.0,"London, United Kingdom","Western Philosophy: Ancient, To C 500",19
Homo Deus,Paperback,2017,22.34,Yuval Noah Harari,4.21,Vintage Publishing,528.0,"London, United Kingdom",21st Century History: From C 2000 -,36
Work Your Light Oracle Cards,Cards,2020,30.43,Rebecca Campbell,4.58,Hay House UK Ltd,128.0,"London, United Kingdom","Mind, Body, Spirit: Thought & Practice",39
Maths Games for Clever Kids (R),Paperback,2018,8.77,Gareth Moore,4.15,Michael O'Mara Books Ltd,192.0,"London, United Kingdom",Primary & Middle Schools,30
Somebody's Land: Welcome to Our Country,Hardback,2021,37.19,Adam Goodes,,Allen & Unwin,24.0,"Sydney, Australia",Picture Books,41
The Incal,Hardback,2015,55.07,Alexandro Jodorowsky,4.17,"Humanoids, Inc",308.0,United States,Space Opera,21
Berserk Volume 1,Paperback,2009,22.56,Kentaro Miura,4.43,"Dark Horse Comics,U.S.",224.0,"Milwaukie, United States","Graphic Novels, Anime & Manga",32
Last Night at the Telegraph Club,Paperback,2021,14.43,Malinda Lo,4.32,HODDER & STOUGHTON,416.0,"London, United Kingdom",Contemporary Fiction,18
The 143-Storey Treehouse,Hardback,2021,19.52,Andy Griffiths,5.0,Pan Macmillan,304.0,"London, United Kingdom",Children's Fiction,32
Turn a Blind Eye,Paperback,2021,14.41,Jeffrey Archer,4.16,Pan Macmillan,384.0,"London, United Kingdom",Contemporary Fiction,47
Berserk Deluxe Volume 9,Hardback,2021,67.31,Kentaro Miura,4.77,"Dark Horse Comics,U.S.",656.0,"Milwaukie, United States","Graphic Novels, Anime & Manga",15
Neuromancer,Paperback,2016,11.02,William Gibson,3.9,Orion Publishing Co,320.0,"London, United Kingdom",Science Fiction,39
Oi Dog!,Paperback,2016,15.42,Kes Gray,4.17,Hachette Children's Group,32.0,"London, United Kingdom",Storybooks,56
"Tokyo Ghoul, Vol. 6",Paperback,2016,15.77,Sui Ishida,4.43,"Viz Media, Subs. of Shogakukan Inc",200.0,"San Francisco, United States",Graphic Novels: Manga,53
In My Heart,Hardback,2014,24.75,Jo Witek,4.43,ABRAMS,32.0,"New York, United States",Picture Books,56
Tabby McTat,Paperback,2020,20.98,Julia Donaldson,4.11,Scholastic,32.0,"London, United Kingdom",Characters,24
As Good As Dead,Paperback,2021,18.16,Holly Jackson,4.28,HarperCollins Publishers,576.0,United Kingdom,Vintage Crime,46
The Invisible Life of Addie La Rue,Paperback,2020,28.79,V E Schwab,4.25,Tor Books,448.0,,Fantasy,22
The Maddest Obsession,Paperback,2019,23.93,Danielle Lori,4.41,Independently Published,332.0,,Crime,44
Meditations,Paperback,2019,13.67,Marcus Aurelius,4.22,Random House USA Inc,256.0,"New York, NY, United States",Classic Books & Novels,40
Spot Goes to the Farm,Board book,2011,14.22,Eric Hill,3.92,Penguin Random House Children's UK,22.0,"London, United Kingdom",Characters,54
David Attenborough: Volume 34,Hardback,2020,24.59,Maria Isabel Sanchez Vegara,4.28,Frances Lincoln Publishers Ltd,32.0,"London, United Kingdom",Picture Books,59
Dune,Hardback,2018,27.63,Frank Herbert,4.24,Orion Publishing Co,624.0,"London, United Kingdom",Classic Books & Novels,33
The Fortune Men,Hardback,2021,27.64,Nadifa Mohamed,3.88,Penguin Books Ltd,384.0,"London, United Kingdom",Contemporary Fiction,52
The Little Book of Hygge,Hardback,2016,24.64,Meik Wiking,3.75,Penguin Books Ltd,288.0,"London, United Kingdom",Popular Psychology,34
Why We Sleep,Paperback,2018,19.1,Matthew Walker,4.35,Penguin Books Ltd,368.0,"London, United Kingdom","Physiological & Neuro-psychology, Biopsychology",58
The Puffin Book of Stories for Five-year-olds,Paperback,1999,11.22,Wendy Cooling,3.87,Penguin Random House Children's UK,144.0,"London, United Kingdom",Children's Fiction,35
A Gentleman in Moscow,Paperback,2017,17.49,Amor Towles,4.32,Cornerstone,512.0,"London, United Kingdom",Contemporary Fiction,26
Charlotte's Web,Paperback,2012,13.21,E B White,4.18,HarperCollins,192.0,"New York, NY, United States",Children's Fiction,19
All the Light We Cannot See,Paperback,2015,19.1,Anthony Doerr,4.32,HarperCollins Publishers,544.0,"London, United Kingdom",Contemporary Fiction,20
"Jujutsu Kaisen, Vol. 12",Paperback,2021,12.61,Gege Akutami,4.54,"Viz Media, Subs. of Shogakukan Inc",192.0,"San Francisco, United States",Graphic Novels: Manga,16
"Chainsaw Man, Vol. 7",Paperback,2021,12.89,Tatsuki Fujimoto,4.34,"Viz Media, Subs. of Shogakukan Inc",200.0,"San Francisco, United States",Graphic Novels: Manga,43
"Jujutsu Kaisen, Vol. 13",Paperback,2021,12.97,Gege Akutami,4.62,"Viz Media, Subs. of Shogakukan Inc",192.0,"San Francisco, United States",Graphic Novels: Manga,11
"86 - EIGHTY SIX, Vol. 3 (light novel)",Paperback,2019,19.46,Asato Asato,4.26,"Little, Brown & Company",224.0,"New York, United States",Science Fiction,49
The Little Prince,Hardback,2018,20.61,Antoine de Saint-Exupery,4.31,Wordsworth Editions Ltd,144.0,"Herts, United Kingdom",Classic Books & Novels,41
A Hunter-Gatherer's Guide to the 21st Century,Hardback,2021,33.56,Heather Heying,4.43,Swift Press,352.0,"London, United Kingdom",Science: General Issues,43
The Postscript Murders,Paperback,2021,11.67,Elly Griffiths,4.02,Quercus Publishing,368.0,"London, United Kingdom",Crime,13
Pachinko,Paperback,2017,22.46,Min Jin Lee,4.28,Head of Zeus,560.0,"London, United Kingdom",Contemporary Fiction,23
365 For My Daughter Daily Messages Of Love,Hardback,2021,22.24,Exley,,Helen Exley Giftbooks,368.0,"Watford, United Kingdom",Family & Relationships,21
Twisted Tales: Enchanted Collection (Disney),Paperback,2021,75.27,,,Scholastic Australia,,"Lindfield, Australia",Sci Fi Books for Kids,47
Junji Ito's Cat Diary: Yon & Mu Collector's Edition,Hardback,2021,30.92,Junji Ito,4.18,"Kodansha America, Inc",128.0,"New York, United States",Horror,57
The Gifts Of Imperfection,Paperback,2010,25.64,Brene Brown,4.2,Hazelden Information & Educational Services,160.0,"Center City, United States",Personal Development,33
Berserk Deluxe Volume 8,Hardback,2021,73.17,Kentaro Miura,4.69,"Dark Horse Comics,U.S.",632.0,"Milwaukie, United States",Graphic Novels: Manga,27
Short Stories in French for Beginners,Paperback,2018,17.37,Olly Richards,4.12,John Murray Press,272.0,"London, United Kingdom",Language Teaching & Learning Material & Coursework,25
"Goodnight Punpun, Vol. 4",Paperback,2017,34.67,Inio Asano,4.47,"Viz Media, Subs. of Shogakukan Inc",456.0,"San Francisco, United States","Graphic Novels, Anime & Manga",31
The Priory of the Orange Tree,Paperback,2020,25.49,Samantha Shannon,4.22,Bloomsbury Publishing PLC,848.0,"London, United Kingdom",Contemporary Fiction,34
Where's Pikachu? A Search and Find Book,Paperback,2019,12.15,Pokemon,4.27,Hachette Children's Group,32.0,"London, United Kingdom",Activity Books,11
Aristotle and Dante Discover the Secrets of the Universe,Paperback,2021,16.24,Benjamin Alire Saenz,4.33,Simon & Schuster Ltd,368.0,"London, United Kingdom",Children's Fiction,43
Cat Kid Comic Club 2,Hardback,2021,31.98,Dav Pilkey,4.81,Scholastic US,224.0,"New York, United States",Characters,27
The Brightest Night (Wings of Fire Graphic Novel 5 ),Paperback,2022,16.79,Tui T. Sutherland,4.77,Scholastic US,224.0,"New York, United States",Graphic Novel & Manga Artwork,52
"The Bad Guys in They're Bee-Hind You! (the Bad Guys #14), 14",Paperback,2021,12.68,Aaron Blabey,4.42,Scholastic Paperbacks,192.0,,Adventure Books for Kids,22
One Last Stop,Paperback,2021,24.66,Casey McQuiston,4.15,St Martin's Press,432.0,"New York, United States",Romance,34
ANGELIC FLIGHTS,Paperback,2021,16.16,Gabriel Rosenstock,,Gabriel Rosenstock,124.0,,"Mysticism, Magic & Ritual",17
A Brief History Of Time,Paperback,2015,17.28,Stephen Hawking,4.19,Transworld Publishers Ltd,272.0,"London, United Kingdom",Science: General Issues,27
Zero to One,Paperback,2018,15.87,Blake Masters,4.17,Ebury Publishing,224.0,"London, United Kingdom",Business & Management,17
One Up On Wall Street,Paperback,2018,20.8,Peter Lynch,4.23,Simon & Schuster,304.0,"New York, United States",Biography: Business & Industry,46
Dr. Seuss's ABC,Board book,1996,8.55,Dr. Seuss,4.08,Random House USA Inc,24.0,"New York, United States",ABC,23
Who Cooked the Last Supper?,Paperback,2001,21.13,Rosalind Miles,3.88,Three Rivers Press,352.0,"New York, United States",General & World History,36
Bluey: Little Library,Board book,2021,13.76,Bluey,,Penguin Random House Children's UK,48.0,"London, United Kingdom",Characters,46
The Body Keeps the Score,Paperback,2015,24.42,Bessel van der Kolk,4.44,Penguin Putnam Inc,464.0,United States,Psychology,37
Where The Wild Things Are,Paperback,2001,15.11,Maurice Sendak,4.22,Penguin Random House Children's UK,48.0,"London, United Kingdom",Picture Books,11
Dark Rise,Hardback,2021,29.25,C S Pacat,4.23,Quill Tree Books,464.0,,Adventure Books for Kids,54
Howl's Moving Castle,Paperback,2011,16.03,Diana Wynne Jones,4.25,HarperCollins Publishers Inc,448.0,"New York, NY, United States",Adventure Books for Kids,10
Eleanor Oliphant is Completely Fine,Paperback,2018,21.89,Gail Honeyman,4.26,HarperCollins Publishers,400.0,"London, United Kingdom",Contemporary Fiction,27
This Book Is for You,Hardback,2021,23.52,Worry Lines,4.65,Potter/Ten Speed/Harmony/Rodale,176.0,United States,Art History: From c 1960,45
"My Love Mix-Up!, Vol. 1",Paperback,2021,15.29,Wataru Hinekure,4.31,"Viz Media, Subs. of Shogakukan Inc",176.0,"San Francisco, United States",Graphic Novels: Manga,45
The Official Liverpool FC Annual 2022,Hardback,2022,19.51,Liverpool FC,,Grange Communications Ltd,64.0,"Edinburgh, United Kingdom",Teams & Clubs,41
The Immortals,Paperback,2021,17.81,Arrigo Sacchi,,BackPage Press Limited,,"Glasgow, United Kingdom",Ball Games,15
Dinosaurs Love Underpants,Paperback,2008,26.27,Claire Freedman,3.92,Simon & Schuster Ltd,32.0,"London, United Kingdom",Picture Books,58
John Boorman's Nature Diary,Hardback,2020,25.11,John Boorman,5.0,The Lilliput Press Ltd,128.0,"Dublin, Ireland",Prose: Non-fiction,32
Dog Days,Hardback,2021,33.0,Andrew Cotter,4.25,Black and White Publishing,288.0,"Edinburgh, United Kingdom",Memoirs,25
Matt Preston's World of Flavour,Paperback,2021,65.88,Matt Preston,,Penguin Random House Australia,352.0,"Camberwell, Australia",Food & Drink,13
The Babylon Bee Guide to Wokeness,Paperback,2021,26.17,Babylon Bee,4.79,Salem Books,208.0,,Christian Books,17
No Bad Parts,Paperback,2021,28.02,Richard C. Schwartz,4.39,Sounds True Inc,216.0,"New York, United States","Social, Group Or Collective Psychology",48
The Ruthless Elimination of Hurry,Paperback,2019,31.85,John Mark Comer,4.51,Hodder & Stoughton,304.0,United Kingdom,Religion: General,27
Principles,Hardback,2017,41.31,Ray Dalio,4.07,SIMON & SCHUSTER,592.0,"New York, United States",Business & Management,18
Lift-The-Flap Very First Questions & Answers,Board book,2016,17.32,Katie Daynes,4.53,Usborne Publishing Ltd,12.0,"London, United Kingdom",Picture Books,18
Heartstopper Volume One,Paperback,2019,27.49,Alice Oseman,4.53,Hachette Children's Group,288.0,"London, United Kingdom",Romance Books for Teenagers,36
Vetman and his Bionic Animal Clan,Hardback,2021,27.84,Noel Fitzpatrick,4.5,Hachette Children's Group,336.0,"London, United Kingdom",Children's Fiction,28
"The Promised Neverland, Vol. 3",Paperback,2018,14.55,Kaiu Shirai,4.52,"Viz Media, Subs. of Shogakukan Inc",192.0,"San Francisco, United States",Graphic Novels: Manga,55
"Rosie Revere, Engineer",Hardback,2013,24.49,Andrea Beaty,4.39,Abrams,32.0,"New York, United States",Storybooks,43
Humankind,Paperback,2021,20.64,Rutger Bregman,4.33,Bloomsbury Publishing PLC,496.0,"London, United Kingdom",20th Century History: C 1900  To C 2000,26
And Away...,Paperback,2021,27.88,Bob Mortimer,,Simon & Schuster Ltd,336.0,"London, United Kingdom",Biography: Arts & Entertainment,20
The World of Peter Rabbit - The Complete Collection of Original Tales 1-23 White Jackets,Hardback,2021,213.56,Beatrix Potter,4.58,Penguin Random House Children's UK,1.0,"London, United Kingdom",Characters,18
Royal Horticultural Society Desk Diary 2022,Hardback,2021,31.14,Royal Horticultural Society,,Frances Lincoln Publishers Ltd,112.0,"London, United Kingdom",Art Books,14
Never Let Me Go,Paperback,2010,15.9,Kazuo Ishiguro,3.83,Faber & Faber,282.0,"London, United Kingdom",Contemporary Fiction,54
The Forty Rules of Love,Paperback,2015,16.59,Elif Shafak,4.12,Penguin Books Ltd,368.0,"London, United Kingdom",Contemporary Fiction,33
Big Panda and Tiny Dragon,Hardback,2021,27.88,James Norbury,4.57,Penguin Books Ltd,160.0,"London, United Kingdom",Illustration,46
One Of Us Is Next,Paperback,2020,15.54,Karen M. McManus,4.02,Penguin Random House Children's UK,384.0,"London, United Kingdom",Children's General Story Books,29
Revolting Rhymes,Paperback,2011,12.8,Roald Dahl,4.11,Penguin Putnam Inc,48.0,"New York, NY, United States",Rhyming & Wordplay,54
Once,Paperback,2006,12.55,Morris Gleitzman,4.22,Penguin Random House Children's UK,160.0,"London, United Kingdom",Children's Fiction,11
Green is for Christmas,Hardback,2021,12.79,Drew Daywalt,,HarperCollins Publishers,32.0,"London, United Kingdom",Characters,30
The Lord of the Rings,Hardback,2021,96.77,J. R. R. Tolkien,4.5,HarperCollins Publishers,1248.0,"London, United Kingdom",Classic Books & Novels,46
Second Foundation,Paperback,2016,10.82,Isaac Asimov,4.25,HarperCollins Publishers,240.0,"London, United Kingdom",Classic Books & Novels,50
The 7 Habits of Highly Effective People,Paperback,2020,27.76,Stephen R Covey,4.13,SIMON & SCHUSTER,464.0,,Management & Management Techniques,41
Private Eye Annual 2021,Hardback,2021,22.94,Ian Hislop,,Private Eye Productions Ltd.,96.0,"London, United Kingdom","Yearbooks, Annuals, Almanacs",26
The Little Book of Mindfulness,Paperback,2014,11.46,Dr. Patrizia Collard,3.81,Octopus Publishing Group,96.0,"London, United Kingdom",Health Books,28
Hold on to Your Kids,Paperback,2019,18.74,Dr Gabor Mate,4.24,Ebury Publishing,352.0,"London, United Kingdom",Family & Relationships,21
On Writing,Paperback,2020,26.66,Stephen King,4.31,HODDER & STOUGHTON,416.0,"Oxon, United Kingdom",Biography: Literary,53
"Death Note Black Edition, Vol. 1",Paperback,2011,23.04,Tsugumi Ohba,4.47,"Viz Media, Subs. of Shogakukan Inc",392.0,"San Francisco, United States",Graphic Novels: Manga,43
The Book Thief,Paperback,2016,19.1,Markus Zusak,4.38,Transworld Publishers Ltd,560.0,"London, United Kingdom",Contemporary Fiction,36
Moonology (TM) Oracle Cards,Cards,2018,21.54,Yasmin Boland,4.65,Hay House UK Ltd,128.0,"London, United Kingdom",Astrology,16
How We Love,Paperback,2021,39.64,Clementine Ford,4.47,Allen & Unwin,312.0,"Sydney, Australia",Memoirs,48
House of Earth and Blood,Hardback,2020,41.58,Sarah J Maas,4.44,Bloomsbury Publishing,816.0,New York,Adventure Books,47
MOX,Hardback,2021,32.4,Jon Moxley,4.0,Permuted Press,272.0,United States,Biography: Arts & Entertainment,17
Vinland Saga 1,Hardback,2019,30.16,Makoto Yukimura,4.42,"Kodansha America, Inc",472.0,"New York, United States",Graphic Novels: Manga,50
The Montessori Toddler,Paperback,2019,24.36,Simone Davies,4.38,Workman Publishing,256.0,"New York, United States",Educational Strategies & Policy,47
Shadow and Bone: Now a Netflix Original Series,Paperback,2018,13.47,Leigh Bardugo,3.97,Hachette Children's Group,352.0,"London, United Kingdom",Children's General Story Books,51
The Green Witch,Hardback,2017,25.55,Arin Murphy-Hiscock,3.93,Adams Media Corporation,256.0,United States,"Mind, Body & Spirit",37
Percy Jackson and the Olympians,Paperback,2014,61.71,Rick Riordan,4.6,HYPERION,1840.0,"New York, United States",Adventure Books for Kids,25
Short Stories in Italian for Beginners,Paperback,2018,17.37,Olly Richards,4.01,John Murray Press,224.0,"London, United Kingdom",Language Teaching & Learning Material & Coursework,44
Blood of Elves: Witcher 1 - Now a major Netflix show,Paperback,2020,15.34,Andrzej Sapkowski,4.09,Orion Publishing Co,320.0,"London, United Kingdom",Fantasy,42
The Perks of Being a Wallflower,Paperback,2013,13.54,Stephen Chbosky,4.21,Simon & Schuster Ltd,240.0,"London, United Kingdom",Contemporary Fiction,53
Heartstopper Volume Three,Paperback,2020,18.76,Alice Oseman,4.63,Hachette Children's Group,384.0,"London, United Kingdom",Children's Fiction,52
Coraline,Paperback,2013,13.34,Neil Gaiman,4.06,Bloomsbury Publishing PLC,208.0,"London, United Kingdom",Children's General Story Books,41
Fantastically Great Women Who Changed The World,Paperback,2016,15.33,Kate Pankhurst,4.47,Bloomsbury Publishing Plc,32.0,"London, United Kingdom",Picture Books,17
Red Roulette,Paperback,2021,27.06,Desmond Shum,,Simon & Schuster Ltd,320.0,"London, United Kingdom",Biography: General,58
Pokemon: Super Extra Deluxe Essential Handbook,Paperback,2021,26.13,Scholastic,4.56,Scholastic US,560.0,"New York, United States",Games Strategy Guides,53
Once Upon a Broken Heart,Hardback,2021,29.85,Stephanie Garber,4.27,Flatiron Books,416.0,New York,Children's Fiction,31
Dance of Thieves,Paperback,2019,21.48,Mary Pearson,4.26,Square Fish,528.0,,Sci Fi Books for Kids,46
The Shadows Between Us,Hardback,2020,27.26,Tricia Levenseller,3.92,Feiwel and Friends,336.0,"New York, United States",Fantasy Books for Kids,50
The Coffee Bean,Hardback,2019,22.58,Jon Gordon,4.08,John Wiley & Sons Inc,112.0,"New York, United States",Business & Management,27
Press Here,Hardback,2011,25.55,HervÃ© Tullet,4.38,CHRONICLE BOOKS,56.0,"San Francisco, United States",Picture Books,51
Unofficial Roblox Annual 2022,Hardback,2021,20.07,Daniel Lipscombe,,HarperCollins Publishers,72.0,United Kingdom,Annuals,23
One Day at a Time Diary 2022 - Ireland's bestselling wellness diary,Paperback,2021,19.73,Abby Wynne,,Gill,232.0,"Dublin, Ireland","Diaries, Letters & Journals",34
House of Leaves,Paperback,2000,40.93,Mark Z. Danielewski,4.05,Random House USA Inc,736.0,"New York, United States",Contemporary Fiction,10
Bridgerton: Romancing Mr Bridgerton (Bridgertons Book 4),Paperback,2021,14.26,Julia Quinn,4.03,"Little, Brown Book Group",384.0,"London, United Kingdom",Historical Romance,26
Asterix: Asterix Omnibus 1,Paperback,2011,25.39,Rene Goscinny,4.42,"Little, Brown Book Group",152.0,"London, United Kingdom","Graphic Novels, Anime & Manga",42
I Know Why the Caged Bird Sings,Paperback,2009,12.27,Maya Angelou,4.25,Random House USA Inc,289.0,"New York, United States",Biography: General,55
You'll Be the Death of Me,Paperback,2021,14.02,Karen M. McManus,4.24,Penguin Random House Children's UK,336.0,"London, United Kingdom",Adventure Books for Kids,32
Silverview,Hardback,2021,31.31,John le Carre,4.09,Penguin Books Ltd,224.0,"London, United Kingdom",Contemporary Fiction,40
Dear Zoo,Board book,2010,14.21,Rod Campbell,4.28,Pan Macmillan,18.0,"London, United Kingdom",Picture Books,43
Baby's Very First Black and White Little Library,Board book,2011,13.21,Stella Baggott,3.78,Usborne Publishing Ltd,40.0,"London, United Kingdom",Baby Books,31
The Hating Game,Paperback,2021,15.29,Sally Thorne,4.1,William Morrow & Company,416.0,,Contemporary Fiction,23
Moleskine 2022 12-Month Daily Pocket Softcover Notebook: Black,Paperback,2021,20.11,Moleskine,,Moleskine,400.0,Italy,Miscellaneous Items,18
How to End a Story,Hardback,2021,41.19,Helen Garner,5.0,Text Publishing,256.0,"Melbourne, Australia",Biography: Literary,49
The Dictionary of Lost Words,Paperback,2020,35.05,Pip Williams,4.19,Affirm Press,384.0,"Mulgrave, VIC, Australia",Historical Fiction,54
The Perks of Being a Wallflower,Paperback,2009,13.92,Stephen Chbosky,4.21,Simon & Schuster Ltd,240.0,"London, United Kingdom",Contemporary Fiction,19
Marvel: Storybook Collection Advent Calendar,Paperback,2021,42.18,Autumn Publishing,,Bonnier Books Ltd,24.0,"Sywell, United Kingdom",Characters,35
The Appeal,Paperback,2021,17.79,Janice Hallett,4.06,Profile Books Ltd,464.0,United Kingdom,Crime,57
Match of the Day Annual 2022,Hardback,2021,21.3,Various,,Ebury Publishing,96.0,"London, United Kingdom",Annuals,13
21 Lessons for the 21st Century,Paperback,2019,26.8,Yuval Noah Harari,4.16,Vintage Publishing,432.0,"London, United Kingdom",Prose: Non-fiction,22
Crooked Kingdom (Six of Crows Book 2),Paperback,2017,20.96,Leigh Bardugo,4.59,Hachette Children's Group,560.0,"London, United Kingdom",Children's Fiction,37
You're Doing it Wrong: A History of Bad & Bonkers Advice to Women,Paperback,2021,50.32,Kaz Cooke,,Penguin Random House Australia,352.0,"Hawthorn, Australia",Social & Cultural History,22
Adult Children of Emotionally Immature Parents,Paperback,2015,30.84,Lindsay C Gibson,4.34,New Harbinger Publications,224.0,"Oakland, CA, United States",Psychology,34
The Noma Guide to Fermentation (Foundations of Flavor),Hardback,2018,45.4,Rene Redzepi,4.55,Artisan,440.0,"New York, United States",Food & Beverage Technology,55
Dear Santa,Board book,2020,14.1,Rod Campbell,4.09,Pan Macmillan,14.0,"London, United Kingdom",Baby Books,17
